step,timestamp,action,price,shares,symbol,reward,transaction_cost,slippage,time_penalty,status
6,2023-07-03 08:00:30.451005195,BUY,194.02,12323.344486727978,AAPL,-0.45554415721183295,0.14826615721184652,0.13999999999998636,0.167278,filled
7,2023-07-03 08:00:30.451005195,SELL,194.01,175.10462070510297,AAPL,-0.21416387567100353,0.04688587567100352,0.0,0.167278,filled
8,2023-07-03 08:00:30.451005195,SELL,194.01,134.11822625133863,AAPL,-0.6361367567100351,0.46885875671003513,0.0,0.167278,filled
9,2023-07-03 08:00:30.451829005,SELL,194.0,151.4943280914095,AAPL,-2.7669245788211883,2.599947578821188,0.0,0.166977,filled
10,2023-07-03 08:00:30.451829005,SELL,194.0,42.94988752971499,AAPL,-0.26074875134200703,0.09377175134200703,0.0,0.166977,filled
11,2023-07-03 08:00:30.451829005,SELL,194.0,193.84591926366863,AAPL,-0.27181700518496743,0.10484000518496742,0.0,0.166977,filled
12,2023-07-03 08:00:30.451829005,SELL,194.0,172.84143489272182,AAPL,-0.354520502684014,0.18754350268401407,0.0,0.166977,filled
13,2023-07-03 08:00:30.566381995,SELL,194.09,74.11028961628291,AAPL,-0.40269315721184995,0.14826615721184652,0.09000000000000341,0.164427,filled
14,2023-07-03 08:00:37.857944791,SELL,194.12,69.33634217559346,AAPL,-0.41316415721184085,0.14826615721184652,0.09999999999999432,0.164898,filled
15,2023-07-03 08:00:42.324101963,SELL,194.15,69.69939392015625,AAPL,-0.442837157211842,0.14826615721184652,0.12999999999999545,0.164571,filled
16,2023-07-03 08:00:47.317729998,SELL,194.1,89.30983920449088,AAPL,-0.35290815721183855,0.14826615721184652,0.03999999999999204,0.164642,filled
17,2023-07-03 08:00:57.325590403,SELL,194.1,125.11996833900518,AAPL,-0.21297387567100354,0.04688587567100352,0.0,0.166088,filled
18,2023-07-03 08:00:57.325590403,SELL,194.1,110.4726076847663,AAPL,-0.21297387567100354,0.04688587567100352,0.0,0.166088,filled
19,2023-07-03 08:00:59.762541862,SELL,194.12,87.90725425648517,AAPL,-0.5159692062883697,0.3315332062883595,0.020000000000010232,0.164436,filled
20,2023-07-03 08:00:59.998480243,SELL,194.12,140.28650112372372,AAPL,-0.27838375134201726,0.09377175134200703,0.020000000000010232,0.164612,filled
21,2023-07-03 08:01:02.030585068,SELL,194.12,63.61770128550823,AAPL,-0.2553307188195265,0.0812087188195356,0.009999999999990905,0.164122,filled
22,2023-07-03 08:01:02.738714506,BUY,194.12,17216.263757052628,AAPL,-0.570340594097678,0.40604359409767804,0.0,0.164297,filled
23,2023-07-03 08:01:02.738812696,BUY,194.12,11333.51661650648,AAPL,-0.36304092377301567,0.1989199237730157,0.0,0.164121,filled
24,2023-07-03 08:01:02.738841844,BUY,194.12,6769.457153854787,AAPL,-0.31235715721184654,0.14826615721184652,0.0,0.164091,filled
25,2023-07-03 08:01:02.739065129,SELL,194.12,23.096645028226263,AAPL,-0.5800935940976689,0.40604359409767804,0.009999999999990905,0.16405,filled
26,2023-07-03 08:01:02.739074592,SELL,194.12,10.074577927590251,AAPL,-0.31540362701300145,0.14065762701301054,0.009999999999990905,0.164746,filled
27,2023-07-03 08:01:10.150974638,SELL,194.18,17.14755265744356,AAPL,-0.2819058756709967,0.04688587567100352,0.06999999999999318,0.16502,filled
28,2023-07-03 08:01:11.297964469,SELL,194.18,18.959505069216156,AAPL,-0.2907366412576742,0.0663066412576719,0.060000000000002274,0.16443,filled
29,2023-07-03 08:01:11.609390022,SELL,194.18,6.694438408905055,AAPL,-0.2721518756710058,0.04688587567100352,0.060000000000002274,0.165266,filled
30,2023-07-03 08:01:12.249009974,SELL,194.18,19.388027053190772,AAPL,-0.3104204715375316,0.11484647153753044,0.030000000000001137,0.165574,filled
31,2023-07-03 08:01:12.249596259,SELL,194.2,9.539159653169353,AAPL,-0.26126687567098644,0.04688587567100352,0.04999999999998295,0.164381,filled
32,2023-07-03 08:01:12.250045693,SELL,194.26,7.15643342591949,AAPL,-0.41573662701299574,0.14065762701301054,0.10999999999998522,0.165079,filled
33,2023-07-03 08:01:12.250045693,SELL,194.26,27.267142819310415,AAPL,-0.6066122062883448,0.3315332062883595,0.10999999999998522,0.165079,filled
34,2023-07-03 08:01:12.377325167,SELL,194.28,27.77774818876212,AAPL,-0.34191987567099896,0.04688587567100352,0.12999999999999545,0.165034,filled
35,2023-07-03 08:01:12.692506346,SELL,194.15,24.31873584607106,AAPL,-0.6309135727039141,0.4665085727039141,0.0,0.164405,filled
36,2023-07-03 08:01:13.529950930,BUY,194.22,2484.5917460415994,AAPL,-0.2816088756709967,0.04688587567100352,0.06999999999999318,0.164723,filled
37,2023-07-03 08:01:13.720703771,SELL,194.22,4.56407782127626,AAPL,-0.3971922825153381,0.1326132825153438,0.09999999999999432,0.164579,filled
38,2023-07-03 08:01:14.185830444,SELL,194.25,12.27933562308803,AAPL,-0.628752206288355,0.3315332062883595,0.12999999999999545,0.167219,filled
39,2023-07-03 08:01:14.185830444,SELL,194.25,9.105097890854966,AAPL,-0.628752206288355,0.3315332062883595,0.12999999999999545,0.167219,filled
40,2023-07-03 08:01:14.185830444,SELL,194.26,4.921551589237804,AAPL,-0.4554851572118329,0.14826615721184652,0.13999999999998636,0.167219,filled
41,2023-07-03 08:01:14.185830444,SELL,194.28,9.87131389139711,AAPL,-0.47548515721184315,0.14826615721184652,0.1599999999999966,0.167219,filled
42,2023-07-03 08:01:14.185830444,SELL,194.28,3.7785068574908194,AAPL,-0.4854291572118431,0.14826615721184652,0.1599999999999966,0.177163,filled
